model,clip,ground_truth,hypothesis,wer,latency_s
small.en,clip_07.wav,The weather is very nice today,The weather is very nice today.,0.1667,2.5934
small.en,clip_08.wav,I would like to order some food,I would like to order some food.,0.1429,2.6179
small.en,clip_09.wav,Can you help me find this address,Can you help me find this address?,0.1429,2.5713
small.en,clip_10.wav,I need to go to the hospital,I need to go to the hospital.,0.1429,2.6677
small.en,clip_11.wav,The children are playing outside,The children are playing outside.,0.2000,2.6441
small.en,clip_12.wav,She is reading a very interesting book,She is reading a very interesting book,0.0000,2.5791
small.en,clip_13.wav,We should leave early tomorrow morning,We should leave early tomorrow morning.,0.1667,2.5891
small.en,clip_14.wav,The restaurant serves excellent food,The restaurant serves excellent food.,0.2000,2.5751
small.en,clip_15.wav,My grandfather told me many stories,My grandfather told me many stories.,0.1667,2.5543
small.en,clip_16.wav,Education is a powerful weapon,Education is a powerful weapon.,0.2000,2.6226
small.en,clip_17.wav,The train arrives at platform three,The train arrives at Platform 3.,0.1667,2.6028
small.en,clip_18.wav,I have been living here for five years,I have been living here for five years.,0.1250,2.6159
small.en,clip_19.wav,How do I get to the nearest bus stop,How do I get to the nearest bus stop?,0.1111,2.6450
small.en,clip_20.wav,The government announced new policies,The government announced new policies.,0.2000,2.5710
small.en,clip_21.wav,Technology has changed how we communicate,Technology has changed how we communicate.,0.1667,2.6293
small.en,clip_22.wav,The old man was feeding the birds,The old man was feeding the birds.,0.1429,2.6069
small.en,clip_23.wav,The farmers continued working in the fields,The farmers continued working in the fields.,0.1429,2.6068
small.en,clip_24.wav,Scientists made a breakthrough discovery,Scientists made a breakthrough discovery.,0.2000,2.6003
small.en,clip_25.wav,Students participated in the competition,Students participated in the competition.,0.2000,2.5606
