model,clip,ground_truth,hypothesis,wer,latency_s
tiny.en,6313-76958-0016,you won't be so fast to wake up hard working cowboys after that i reckon,"You won't be so fast to wake up hard working cowboys after that, I reckon.",0.0000,0.0526
tiny.en,5338-24615-0004,yet the physiognomy of the people when more closely examined was far from exhibiting the indifference of stupidity their features were rough but remarkably intelligent grave but the very reverse of stupid and from among the young women an artist might have chosen more than one model whose features and form resembled those of minerva,"Yet, the physiognomy of the people, when more closely examined, was far from exhibiting the indifference of stupidity. Their features were rough, but remarkably intelligent. Grave. But the very reverse of stupid. And from among the young women, an artist might have chosen more than one model whose features and form resembled those of Minerva.",0.0000,0.1918
tiny.en,2078-142845-0043,mode whisk the egg stir in the sugar and beat these ingredients well together beat the butter to a cream stir in the ground rice currants and candied peel and as much flour as will make it of such a consistency that it may be rolled into seven or eight balls,"Mode. Wisk the egg, stir in the sugar, and beat these ingredients well together. Beat the butter to a cream, stir in the ground rice, currants, and candied peel, and as much flour as we'll make it of such a consistency that it may be rolled into seven or eight balls.",0.0392,0.1769
tiny.en,5338-24615-0007,the house which seemed to consist of two or three high narrow and steep roofed buildings projecting from each other at right angles formed one side of the inclosure,"The house, which seemed to consist of two or three high-neuro and steep-roofed buildings, projecting from each other at right angles, formed one side of the enclosure.",0.1724,0.1374
tiny.en,1462-170138-0003,alexander exclaimed mildly,Alexander exclaimed mildly.,0.0000,0.0275
tiny.en,7976-110124-0021,pass the charm out to me then said the robber,"Pass the charm out to me then, so the rubber.",0.2000,0.0421
tiny.en,5338-284437-0031,in all our history you are the first people from outside our borders who have ever stepped a foot in our land,"In all our history, you are the first people from outside our borders who have ever stepped a foot in our land.",0.0000,0.0845
tiny.en,2428-83699-0016,it is some satisfaction for me to be able to reflect that i made it warm for the officials however cold i might have been myself,It is some satisfaction for me to be able to reflect that I made it warm for the officials. However cold I might have been myself,0.0000,0.0635
tiny.en,6295-244435-0008,the great state of virginia mother of presidents went out of the union at last and north carolina tennessee and arkansas followed her but maryland kentucky and missouri still hung in the balance,"The great state of Virginia, mother of presidents, went out of the Union at last. And North Carolina, Tennessee and Arkansas followed her. But Maryland, Kentucky and Missouri still hung in the balance.",0.0000,0.1115
tiny.en,6319-64726-0013,he passed through one apartment after another where were ladies and gentlemen asleep in their chairs or standing,He passed through one apartment after another. Where were ladies and gentlemen asleep in their chairs or standing?,0.0000,0.0639
tiny.en,6313-66125-0018,lige quickly made fast the line to a tree,Lies quickly make fast the line to a tree.,0.2222,0.0404
tiny.en,1462-170142-0008,when did you come bartley and how did it happen you haven't spoken a word,"When did you come, Bartley? And how did it happen? You haven't spoken a word.",0.0000,0.0556
tiny.en,3853-163249-0011,i shall wait for time to show,I shall wait for time to show.,0.0000,0.0378
tiny.en,1988-24833-0000,the two stray kittens gradually make themselves at home,The two stray kittens gradually make themselves at home.,0.0000,0.0364
tiny.en,3576-138058-0033,at this instant one or two of those squires who were posted as sentinels on the roads to watch who came along them and report what passed to their chief came up and said senor there is a great troop of people not far off coming along the road to barcelona,"At this instant, one or two of those squires who were posted as sentinels on the roads to watch who came along them and report what passed to their chief came up and said, Senor, there is a great troop of people not far off coming along the road to Barcelona.",0.0000,0.1623
tiny.en,3576-138058-0031,what are you talking about man,"What are you talking about, man?",0.0000,0.0460
tiny.en,3752-4944-0050,you're a dismissed officer of the government sir,"You're a dismissed officer of the government, sir.",0.0000,0.0379
tiny.en,422-122949-0031,there must be a sort of repugnance in me to believe anything definite about myself is there perhaps some enigma therein,There must be a sort of repentance in me to believe anything definite about myself. Is there perhaps some enigma therein?,0.0476,0.0672
tiny.en,2086-149220-0005,bees too strange to say had thought it worth their while to come hither possibly from the range of hives beside some farm house miles away,"These, too, strange to say had thought it worth their while to come hither, possibly from the range of hives, besides some farmhouse miles away.",0.1538,0.0783
tiny.en,1919-142785-0017,the lemon this fruit is a native of asia and is mentioned by virgil as an antidote to poison,The lemon. This fruit is a native of Asia and is mentioned by Virgil as an antidote to poison.,0.0000,0.0588
tiny.en,8297-275156-0000,what are you doing here he asked,What are you doing here? He asked.,0.0000,0.0342
tiny.en,1272-128104-0006,on the general principles of art mister quilter writes with equal lucidity,"On the general principles of art, Mr. Krilter writes with equal lucidity.",0.1667,0.0490
tiny.en,2902-9006-0009,but the health of a church depends not merely on the creed which it professes not even on the wisdom and holiness of a few great ecclesiastics but on the faith and virtue of its individual members,"But the health of a church depends not merely on the creed which it professes, not even on the wisdom and holiness of a few great ecclesiastics, but on the faith and virtue of its individual members.",0.0000,0.1397
tiny.en,3081-166546-0015,i am looking at him now,I am looking at him now.,0.0000,0.0414
tiny.en,652-130737-0001,with soup and fish serve white wines such as rhein wine sauterne or white burgundy,"With soup and fish serve white wines, such as Rhine Wine, Sotaren or White Burgundy.",0.1333,0.0576
tiny.en,2078-142845-0025,when they are quite hot divide them lengthwise into three put some thin flakes of good butter between the slices press the rolls together and put them in the oven for a minute or two but not longer or the butter would oil take them out of the oven spread the butter equally over divide the rolls in half and put them on to a very hot clean dish and send them instantly to table,"When they are quite hot, divide them lengthwise into 3. Put some thin flakes of good butter between the slices, press the rolls together, and put them in the oven for a minute or two. But not longer, or the butter would oil. Take them out of the oven, spread the butter equally over, divide the rolls in half, and put them on to a very hot clean dish and send them instantly to table.",0.0133,0.2126
tiny.en,3752-4944-0051,this of course was mere bravado on the part of the commandant,"This, of course, was Mir bravado on the part of the commandant.",0.0833,0.0468
tiny.en,3536-23268-0016,miss woodley obediently sat down and though her thoughts and heart were in the chamber of her friend she never marked by one impertinent word or by one line of her face the restraint she suffered,"Miss Woodley obediently sat down, and though her thoughts and heart were in the chamber of her friend, she never marked by one important word or by one line of her face the restraint she suffered.",0.0278,0.1019
tiny.en,3170-137482-0000,with an education which ought to have ensured me an honourable standing in the world with some intelligence wit good literary and scientific knowledge and endowed with those accidental physical qualities which are such a good passport into society i found myself at the age of twenty the mean follower of a sublime art in which if great talent is rightly admired mediocrity is as rightly despised,"With an education which ought to have ensured me an honorable standing in the world, with some intelligence, wit, good literary and scientific knowledge, and endowed with those accidental physical qualities which are such a good passport into society, I found myself at the age of twenty the mean follower of a sublime art, in which, if great talent is rightly admired, mediocrity is as rightly despised.",0.0149,0.2081
tiny.en,6313-66125-0022,lige leaning over the brink was able to follow the boy's movements by the aid of the thin arc of light made by the torch in tad's hand,"Lige, leaning over the brink, was able to follow the boy's movements by the aid of the thin arc of light made by the torch in Ted's hand.",0.0357,0.0897
tiny.en,3170-137482-0033,the three friends were astounded,The three friends were astounded.,0.0000,0.0298
tiny.en,6319-275224-0014,the honeysuckle escaped no better and the carnation was ready to die of vexation at finding that her coveted freedom had levelled her to the dirt,"The honeysuckle escaped no better, and the carnation was ready to die of vexation, at finding that her coveted freedom had leveled her to the dirt.",0.0385,0.0750
tiny.en,2803-154328-0007,john you have promised mary what i promised lady helena what is your plan,"John, you have promised Mary what I promised Lady Helena. What is your plan?",0.0000,0.0575
tiny.en,3536-8226-0031,and bozzle as he said this smiled almost aloud,"And Basel, as he said this, smiled almost aloud.",0.1111,0.0394
tiny.en,2277-149896-0019,but he compromised by telling the boy that there would be no reply,But he compromised by telling the boy that there would be no reply.,0.0000,0.0403
tiny.en,6345-64257-0020,with that came a pang of intense pain,with that came a pain of intense pain.,0.1250,0.0504
tiny.en,6295-64301-0009,he was in a mood for music was he not,He wasn't a mood for music was he not?,0.2000,0.0423
tiny.en,2428-83705-0026,of course there are some people with whom you can't be perfectly plain but i shall be as plain as i can there's a way and a manner of doing that kind of thing,"Of course, there are some people with whom you can't be perfectly plain, but I shall be as plain as I can. There's a way and a manner of doing that kind of thing.",0.0000,0.0968
tiny.en,6313-76958-0011,these they spread out on the ground using boots wrapped in coats for pillows,These they spread out on the ground using boots wrapped in coats for pillows.,0.0000,0.0452
tiny.en,3752-4944-0036,an impulsive gentleman said meekin to macklewain as the sound of mister north's footsteps died away in the distance,"An impulsive gentleman said Mekin to McElwain, as a sound of Mr. North's footsteps died away in the distance.",0.2105,0.0807
tiny.en,7976-110523-0018,see i could even get in myself,"See, I could even get in myself.",0.0000,0.0342
tiny.en,6345-93302-0009,but here the only thing that occurred to her was to stop and look in one of the shops till he should ask her what she was looking at,"But here, the only thing that occurred to her was to stop and look in one of the shops till he should ask her what she was looking at.",0.0000,0.0710
tiny.en,6319-64726-0020,he turned to show them the castle but behold,"He turned to show them the castle, but behold.",0.0000,0.0383
tiny.en,6345-64257-0019,thus was she borne away captive of her dead neither willing nor unwilling of life and death equally careless,"Thus was she born away captive of her dead, neither willing nor unwilling, of life and death equally careless.",0.0526,0.0632
tiny.en,1272-141231-0004,one minute a voice said and the time buzzer sounded,"One minute, a voice said, and a time buzzer sounded.",0.1000,0.0445
tiny.en,2078-142845-0035,sufficient allow two crumpets to each person,"sufficient, allow two crepets to each person.",0.1429,0.0365
tiny.en,2078-142845-0004,mode put the flour into a large earthenware bowl or deep pan then with a strong metal or wooden spoon hollow out the middle but do not clear it entirely away from the bottom of the pan as in that case the sponge or leaven as it was formerly termed would stick to it which it ought not to do,"Mode. Put the flower into a large earthenware bowl or deep pan. Then with a strong metal or wooden spoon hollow out the middle, but do not clear it entirely away from the bottom of the pan, as in that case the sponge or leaven as it was formerly termed would stick to it, which it ought not to do.",0.0167,0.1641
tiny.en,2078-142845-0033,he says that by cutting through four or five slices at a time all the butter is squeezed out of the upper ones while the bottom one is swimming in fat liquid,"He says that by cutting through four or five slices at a time, all the butter is squeezed out of the upper ones, while the bottom one is swimming in fat liquid.",0.0000,0.1452
tiny.en,2035-152373-0012,now every missionary that ever went out from iona had taught that to reduce christians to slavery was wholly inconsistent with a belief in the doctrines of the gospel,"Now, every missionary that ever went out for my owna had taught that to reduce Christians to slavery was wholly inconsistent with a belief in the doctrines of the gospel.",0.1034,0.1332
tiny.en,2086-149220-0000,the enclosure had formerly been very extensive but was now contracted within small compass and hemmed about partly by high wooden fences and partly by the outbuildings of houses that stood on another street,"The enclosure had formerly been very extensive, but was now contracted within small compass, and hemmed about partly by high wooden fences, and partly by the out buildings of houses that stood on another street.",0.0588,0.1021
tiny.en,6295-64301-0014,they sat down and listened in silence,They sat down and listened in silence.,0.0000,0.0321
tiny.en,6345-64257-0006,it was a summer night and the guests were wandering in and out at will and through house and garden amid lovely things of all colors and odors,It was a summer night and the guests were wandering in and out at Will and through house and garden amid lovely things of all colors and odors.,0.0000,0.0915
tiny.en,3000-15664-0024,large flocks dwell here from year to year winter and summer descending occasionally into the adjacent sage plains and lava beds to feed but ever ready to take refuge in the jagged crags of their mountain at every alarm,"Large flocks dwell here from year to year, winter, and summer. Descending occasionally into the adjacent sageplains and lava beds to feed, but ever ready to take refuge in the jagged crags of their mountain and every alarm.",0.0769,0.1399
tiny.en,6241-61946-0012,a few stray cows and sheep were only seen occasionally,A few stray cows in sheep were only seen occasionally.,0.1000,0.0346
tiny.en,6313-76958-0028,he's a trouble curer not a troublemaker except for himself,"He's a troubled cure, not a troublemaker, except for himself.",0.2000,0.0410
tiny.en,5895-34622-0001,in gwynplaine evil thoughts never ripened and he had therefore no remorse,"In Gwynn Plains, evil thoughts never ripened. And he had therefore no remorse.",0.1667,0.0490
tiny.en,1919-142785-0063,illustration sage,illustration. Sage.,0.0000,0.0245
tiny.en,5694-64038-0022,those old soldiers had long long ago forgotten about that old law of the long gone past but jim had treasured it up in his memory lo these many years and he thought it would serve him now as it had no doubt frequently done in the past,"Those old soldiers had long, long ago forgotten about that old law of the long gone past, but Jim had treasured it up in his memory, lo these many years, and he thought it would serve him now as it had no doubt frequently done in the past.",0.0000,0.1024
tiny.en,84-121123-0023,noirtier was near the bed pale motionless and silent as the corpse,"Latte was near the bed, pale, motionless and silent as the corpse.",0.0833,0.0444
tiny.en,5536-43363-0007,at every meal time a dish of food was placed under it and some person of the same sex and age as the one who was gone must afterward be invited in to partake of the food,"At every meal time, a dish of food was placed under it, and some person of the same sex and age as the one who was gone must afterward be invited in to partake of the food.",0.0000,0.1372
tiny.en,5895-34615-0016,besides we must remember that they had in those times means of putting patients to sleep and of suppressing all suffering only then it was called magic while now it is called anaesthesia,"Besides, we must remember that they had in those times means of putting patients to sleep and of suppressing all suffering. Only then it was called magic. While now it is called anesthesia.",0.0303,0.0928
tiny.en,5536-43358-0007,knowing that god sets no value upon material things he took with him no offerings or sacrifices other than symbolic objects such as paints and tobacco,"Knowing that God sets no value upon material things, He took with him no offerings or sacrifices other than symbolic objects, such as paints and tobacco.",0.0000,0.0675
tiny.en,2277-149897-0021,he saw a busy saturday ushered out the sabbath in and nothing done,"He saw a busy Saturday ushered out, the Sabbath in, and nothing done.",0.0000,0.0432
tiny.en,2078-142845-0040,sufficient to make twelve buns seasonable at any time light buns,sufficient to make 12 buns seasonable at any time. Light buns.,0.0909,0.0435
tiny.en,2428-83705-0016,there were no signs of faltering about her flow of language,There were no signs of faltering about her flow of language.,0.0000,0.0383
tiny.en,7850-286674-0005,they did not breathe it into their mouths or through gills but took it in through some openings in the back part of their bodies,"They did not breathe it into their mouths or through gills, but took it in through some openings in the back part of their bodies.",0.0000,0.0675
tiny.en,2803-154328-0017,did they know of the existence of the prisoners or was it some private enterprise that led to the undertaking,Did they know the existence of the prisoners or was it some private enterprise that led to the undertaking?,0.0500,0.0764
tiny.en,7850-281318-0001,indeed it is not a nest at all only the beginning of one,"Indeed, it is not a nest at all, only the beginning of one.",0.0000,0.0546
tiny.en,777-126732-0036,the coals in the grate settled down with a slight crash and michaelis the hermit of visions in the desert of a penitentiary got up impetuously,"The calls and the great settled down on the slight crash, and the callus, the hermit of visions in the desert of a penitentiary, got up and patchylessly.",0.3462,0.0781
tiny.en,1462-170138-0022,in a moment peggy was on the stage again and alexander applauded vigorously with the rest,"In a moment, Peggy was on the stage again, an Alexander applauded vigorously with the rest.",0.0625,0.0484
tiny.en,777-126732-0055,stevie prowled round the table like an excited animal in a cage,Steepy proud round the table like an excited animal in a cage.,0.1667,0.0420
tiny.en,5694-64025-0006,we were supporting an alabama brigade,We were supporting an Alabama Brigade.,0.0000,0.0296
tiny.en,5338-24615-0005,this avenue was straight and of moderate length running between a double row of very ancient horse chestnuts planted alternately with sycamores which rose to such huge height and nourished so luxuriantly that their boughs completely over arched the broad road beneath,"This avenue was straight and of moderate length, running between a double row, a very ancient horse chestnuts. Planted alternately with sycamores, which rose to such huge heights, and nourished so luxuriantly that their bow's completely over-arched the broad road beneath.",0.1190,0.1395
tiny.en,2428-83705-0038,as it is unless i am mistaken some of the rending will be on our side and they know it,"As it is, unless I am mistaken, some of the rending will be on our side, and they know it.",0.0000,0.0566
tiny.en,7850-281318-0012,and where each bird perched there it was to build its nest,"And where each bird perched, there it was to build its nest.",0.0000,0.0444
tiny.en,174-50561-0013,i'll play for you now neath the apple bough and you shall dream on the lawn so shady lady lady my fair lady o my apple gold lady,"I'll play for you now, Nithi Apple Bao, and you shall dream on the lawn so shady. Lady, lady, my fair lady, oh my apple gold lady.",0.1429,0.1022
tiny.en,7850-73752-0001,in moments of deep feeling alike sudden bursts of prosperity as in darker hours man must be alone,"In moments of deep feeling, a light sudden bursts of prosperity as in darker hours, man must be alone.",0.1111,0.1188
tiny.en,1272-141231-0019,there could be little art in this last and final round of fencing,There could be a little art in this last and final round of fencing.,0.0769,0.0424
tiny.en,2803-154320-0000,fortunately will halley was not a man in a hurry and did not use a press of canvas or his masts would inevitably have come down,"Fortunately, Will Hallie was not a man in a hurry and did not use oppressive Canvas or his mass would inevitably have come down.",0.1923,0.0886
tiny.en,652-129742-0004,add two tablespoons thick sour cream two tablespoons sugar a sprinkle of mustard and half cup of vinegar,"Add 2 tablespoons thick sour cream, 2 tablespoons sugar, a sprinkle of mustard and half cup of vinegar.",0.1111,0.0522
tiny.en,3853-163249-0010,excellently i like pride of your sort impetuosity becomes you for you have learned to control it if need be and the ambition is best of all,"Excellently, I like pride of your sort, Impetuosity becomes you, for you have learned to control it if need be, and the ambition is best of all.",0.0000,0.0970
tiny.en,1673-143397-0007,exterminate with me the heretics and with you i will exterminate the persians,exterminate with me the heretics and with you I will exterminate the Persians.,0.0000,0.0464
tiny.en,6295-64301-0015,her heart seemed to swell up into her throat and it was all she could do to keep from weeping,"Her heart seemed to swell up into her throat, and it was all she could do to keep from weeping.",0.0000,0.0553
tiny.en,6241-61946-0010,my arms are right but my legs are getting a little stiff,"My arms are right, but my legs are getting a little stiff.",0.0000,0.0653
tiny.en,2035-147961-0011,quickly it was covered with bright red spots i thought i had never seen any blood so bright,"Quickly, it was covered with bright red spots. I thought I had never seen any blood so bright.",0.0000,0.0483
tiny.en,2803-154320-0002,their friends did their best to amuse them,Their friends did their best to amuse them.,0.0000,0.0313
tiny.en,84-121550-0004,ye are new comers and because i smile began she peradventure in this place elect to human nature for its nest,"We are newcomers and because I smile, began she. Per adventure in this place, elect to human nature for its nest.",0.2381,0.0868
tiny.en,6313-66125-0025,shall we haul up asked lige making a megaphone of his hands yes haul away,"Shall we haul up? Est lie, she's making a bigger phone in his hands. Yes, haul away!",0.4000,0.0572
tiny.en,652-130726-0021,one can almost imagine himself in one of the famous rathskellers of old heidelberg not at the schloss of course for here you cannot look down on the weiser as it flows beneath the windows of the great wine stube on the hill,"One can almost imagine himself in one of the famous Rathskallers of Old Heidelberg. Not at the schloss, of course. For here you cannot look down on the visor as it flows beneath the windows of the great winech through down the hill.",0.1163,0.1280
tiny.en,3576-138058-0036,and now the squires despatched to make the prize came up bringing with them two gentlemen on horseback two pilgrims on foot and a coach full of women with some six servants on foot and on horseback in attendance on them and a couple of muleteers whom the gentlemen had with them,"And now the Squires dispatched to make the prize came up, bringing with them two gentlemen on horseback, two pilgrims on foot, and a coachful of women with some six servants on foot and on horseback and attendants on them, and a couple of mule tears whom the gentleman had with them.",0.1538,0.1486
tiny.en,251-137823-0014,they picked their way through the wreckage and emerged on a scene of frightful destruction,They pick their way through the wreckage and emerged on a scene of frightful destruction.,0.0667,0.0567
tiny.en,2035-147961-0034,wherever they went the story followed them,"Wherever they went, the story followed them.",0.0000,0.0410
tiny.en,5694-64029-0013,line of battle was formed on the north bank of stone's river on the yankee side,Line of battle was formed on the north bank of Stone's River on the Yankee side.,0.0000,0.0776
tiny.en,1462-170145-0020,yes i know very well,"Yes, I know very well.",0.0000,0.0289
tiny.en,3081-166546-0086,the next minute she was in this lady's arms,The next minute she was in this lady's arms.,0.0000,0.0336
tiny.en,7850-281318-0021,and away she flew to her own cosy nest in the elm tree where she was soon fast asleep forgetting all about the matter,and a way she flew to her own coziness in the arm tree where she was soon fast asleep for getting all about the matter.,0.2917,0.0769
tiny.en,1988-24833-0019,i look at my watch it's a quarter to eleven,I look at my watch. It's a quarter to eleven.,0.0000,0.0357
tiny.en,2086-149220-0019,my name is phoebe pyncheon said the girl with a manner of some reserve for she was aware that her new acquaintance could be no other than the daguerreotypist of whose lawless propensities the old maid had given her a disagreeable idea,"My name is Phoebe Pinchin, said the girl, with a manner of some reserve. For she was aware that her new acquaintance could be no other than the DeGaro typist, of whose lawless propensity the old maid had given her a disagreeable idea.",0.0952,0.1855
tiny.en,1272-128104-0012,only unfortunately his own work never does get good,"Only, unfortunately, his own work never does get good.",0.0000,0.0356
tiny.en,2902-9008-0010,ay she answered half bitterly and would that we could live without food and imitate perfectly the immortal gods,"I, she answered half bitterly, and would that we could live without food and imitate perfectly the immortal gods.",0.0526,0.0844
tiny.en,2086-149220-0037,since you are a friend of my cousin hepzibah's you should ask her to show you the picture,"Since you are a friend of my cousin, hepsibas, you should ask her to show you the picture.",0.0556,0.0503
tiny.en,2277-149874-0020,it gave an imposing appearance to most of the wholesale houses whose offices were upon the ground floor and in plain view of the street,"It gave an imposing appearance to most of the wholesale houses, whose offices were up on the ground floor and in plain view of the street.",0.0800,0.0561
tiny.en,2086-149220-0014,he held a hoe in his hand and while phoebe was gone in quest of the crumbs had begun to busy himself with drawing up fresh earth about the roots of the tomatoes,"He held a hoe in his hand, and while Phoebe was gone in quest of the crumbs, had begun to busy himself with drawing up fresh earth about the roots of the tomatoes.",0.0000,0.1388
tiny.en,3000-15664-0021,regaining the low ground at the base of the mountain and holding on in your grand orbit you pass through a belt of juniper woods called the cedars to sheep rock at the foot of the shasta pass,"Regaining the low ground at the base of the mountain and holding on in your grand orbit, you pass through a belt of juniper woods called the seaters to sheeprock at the foot of the Shasta Pass.",0.0789,0.0971
tiny.en,1673-143397-0008,at these blasphemous sounds the pillars of the sanctuary were shaken,"At these blasts from a sound, the pillars of the sanctuary were shaken.",0.3636,0.0391
tiny.en,6345-93306-0025,it was plain that his castanet girl his mother and sister took a pleasure in crediting her daily with some fresh and unpleasing instrument could have had neither taste money nor honesty to such a point as this,"It was plain that his castanette girl, his mother and sister took a pleasure in crediting her daily with some fresh and unpleasing instrument, could have had neither taste, money, nor honesty to such a point as this.",0.0263,0.1435
tiny.en,5895-34629-0026,he did not come every evening but when he came he led the public applause grew into acclamation success rose not to the roof for there was none but to the clouds for there were plenty of them,"He did not come every evening, but when he came, he led the public. A clause grew into acclimation. Success rose not to the roof, for there was none, but to the clouds, for there were plenty of them.",0.0789,0.1506
tiny.en,1919-142785-0062,sufficient half this quantity for two slices of salmon,sufficient half this quantity for two slices of salmon.,0.0000,0.0326
tiny.en,84-121123-0013,asked morrel yes,As well. Yes.,0.6667,0.0255
tiny.en,2078-142845-0037,mode put the flour into a basin mix the sugar well with it make a hole in the centre and stir in the yeast and milk which should be lukewarm with enough of the flour to make it the thickness of cream,"Mode. Put the flour into a basin, mix the sugar well with it, make a hole in the center, and stir in the yeast and milk, which should be lukewarm, with enough of the flour to make it the thickness of cream.",0.0238,0.1103
tiny.en,2277-149874-0003,he was of a clean saving disposition and had already paid a number of monthly instalments on two lots far out on the west side,"He was of a clean, saving disposition and had already paid a number of monthly installments on two lots far out on the west side.",0.0400,0.0984
tiny.en,3576-138058-0022,the wounded gentleman opened his all but closed eyes and recognising claudia said i see clearly fair and mistaken lady that it is thou that hast slain me a punishment not merited or deserved by my feelings towards thee for never did i mean to nor could i wrong thee in thought or deed,"The wounded gentleman opened his all-bit closed eyes, and recognizing Claudia said, I see clearly fair and mistaken lady, that it is thou that has slain me. A punishment not merited or deserved by my feelings toward thee. never did I mean to nor could I wrongly in thought or deed.",0.1481,0.1665
tiny.en,2412-153954-0001,my guides however were well known and the natural politeness of the people prevented them from putting me to any inconvenience but they could not help eyeing me nor i them,"My guides, however, were well known, and the natural politeness of the people prevented them from putting me to any inconvenience. But they could not help eyeing me nor eye them.",0.0323,0.0736
tiny.en,2803-161169-0017,when your hands or lips are cracked and rough from the cold does your mother ever put on glycerin to heal them,"When your hands or lips are cracked and rough from the cold, does your mother ever put on and less rent to heal them.",0.1364,0.0745
tiny.en,3853-163249-0050,mister power is waiting are you ready love quite ready,Mr. Powers waiting. Are you ready love? Quite ready.,0.3000,0.0583
tiny.en,5895-34629-0024,the emptying of tankards did not decrease their success,The emptying of tankards did not decrease their success.,0.0000,0.0428
tiny.en,1673-143396-0011,a foetus that could increase from an invisible point to its full maturity a child that could attain the stature of perfect manhood without deriving any nourishment from the ordinary sources might continue to exist without repairing a daily waste by a daily supply of external matter,A fetus that could increase from an invisible point to its full maturity. A child that could attain the stature of perfect manhood without deriving any nourishment from the ordinary sources might continue to exist without repairing a daily waste by a daily supply of external matter.,0.0213,0.1229
tiny.en,6345-64257-0017,her only life was that she was lost,her only life was that she was lost.,0.0000,0.0311
tiny.en,174-84280-0015,she was destroyed not merely by the unconsidered undisciplined passions of her husband and her lover but by the vast tradition that sustains and enforces the subjugation of her sex,"She was destroyed, not merely by the unconsidered undisciplined passions of her husband and her lover, but by the vast tradition that sustains and enforces the subjugation of her sex.",0.0000,0.0900
tiny.en,6313-66129-0010,i reckon there are smiled the guide we are in the bear country now,"I reckon there are, smiled the guide. We are in the bear country now.",0.0000,0.0424
tiny.en,1919-142785-0050,place it over the fire keep constantly stirring to prevent its burning and when quite dry put in a small piece of butter,"Place it over the fire, keep constantly stirring to prevent its burning, and when quite dry, put in a small piece of butter.",0.0000,0.0801
tiny.en,3536-8226-0018,but trevelyan was of a different opinion and he was disgusted and revolted most unreasonably by the appearance of his minister's domestic arrangements,"But Trevalian was of a different opinion, and he was disgusted and revolted, most unreasonably, by the appearance of his ministers' domestic arrangements.",0.0870,0.1179
tiny.en,6345-93302-0020,couldn't help it then how can i ever trust you,Couldn't help it. Then how can I ever trust you?,0.0000,0.0684
tiny.en,6295-244435-0012,europe which must have its cotton would favor the success of the south,"Europe, which must have its cotton, would favor the success of the South.",0.0000,0.0909
tiny.en,2902-9008-0000,the place seemed fragrant with all the riches of greek thought and song since the days when ptolemy philadelphus walked there with euclid and theocritus callimachus and lycophron,"The place seemed fragrant with all the riches of Greek thought and song, since the days when Ptolemy Philadelphia walked there with Euclid and Theocritus, Calamachus and Lycophron.",0.0714,0.2289
tiny.en,2803-154328-0012,on that side descent was impossible and had it been possible the bottom was shut in by the enormous rock,"on that side descent wasn't possible and had it been possible, bottom was shut in by the enormous rock.",0.1500,0.0743
tiny.en,2078-142845-0021,sour milk or buttermilk may be used but then a little less acid will be needed,"Sour milk or buttermilk may be used, but then a little less acid will be needed.",0.0000,0.0476
tiny.en,3576-138058-0008,dost thou rise against him who gives thee his bread,Does the rise against him who gives thee his bread?,0.2000,0.0519
